        time     pot_ergy        press
  0.3700E+00  -0.4855E+01   0.5380E+00
  0.3710E+00  -0.4850E+01   0.5591E+00
  0.3720E+00  -0.4843E+01   0.5892E+00
  0.3730E+00  -0.4835E+01   0.6267E+00
  0.3740E+00  -0.4825E+01   0.6699E+00
  0.3750E+00  -0.4814E+01   0.7172E+00
  0.3760E+00  -0.4802E+01   0.7676E+00
  0.3770E+00  -0.4790E+01   0.8203E+00
  0.3780E+00  -0.4777E+01   0.8748E+00
  0.3790E+00  -0.4765E+01   0.9309E+00
  0.3800E+00  -0.4752E+01   0.9879E+00
  0.3810E+00  -0.4738E+01   0.1046E+01
  0.3820E+00  -0.4725E+01   0.1104E+01
  0.3830E+00  -0.4712E+01   0.1161E+01
  0.3840E+00  -0.4699E+01   0.1219E+01
  0.3850E+00  -0.4687E+01   0.1275E+01
  0.3860E+00  -0.4674E+01   0.1331E+01
  0.3870E+00  -0.4662E+01   0.1387E+01
  0.3880E+00  -0.4649E+01   0.1443E+01
  0.3890E+00  -0.4637E+01   0.1498E+01
  0.3900E+00  -0.4625E+01   0.1553E+01
  0.3910E+00  -0.4612E+01   0.1607E+01
  0.3920E+00  -0.4600E+01   0.1661E+01
  0.3930E+00  -0.4588E+01   0.1715E+01
  0.3940E+00  -0.4576E+01   0.1769E+01
  0.3950E+00  -0.4564E+01   0.1823E+01
  0.3960E+00  -0.4552E+01   0.1877E+01
  0.3970E+00  -0.4540E+01   0.1931E+01
  0.3980E+00  -0.4528E+01   0.1985E+01
  0.3990E+00  -0.4516E+01   0.2037E+01
  0.4000E+00  -0.4505E+01   0.2088E+01
  0.4010E+00  -0.4494E+01   0.2137E+01
  0.4020E+00  -0.4484E+01   0.2184E+01
  0.4030E+00  -0.4474E+01   0.2229E+01
  0.4040E+00  -0.4464E+01   0.2273E+01
  0.4050E+00  -0.4455E+01   0.2315E+01
  0.4060E+00  -0.4446E+01   0.2357E+01
  0.4070E+00  -0.4437E+01   0.2399E+01
  0.4080E+00  -0.4428E+01   0.2441E+01
  0.4090E+00  -0.4418E+01   0.2484E+01
  0.4100E+00  -0.4409E+01   0.2528E+01
  0.4110E+00  -0.4399E+01   0.2571E+01
  0.4120E+00  -0.4390E+01   0.2616E+01
  0.4130E+00  -0.4380E+01   0.2660E+01
  0.4140E+00  -0.4371E+01   0.2704E+01
  0.4150E+00  -0.4361E+01   0.2749E+01
  0.4160E+00  -0.4351E+01   0.2795E+01
  0.4170E+00  -0.4341E+01   0.2841E+01
  0.4180E+00  -0.4331E+01   0.2885E+01
  0.4190E+00  -0.4322E+01   0.2929E+01
  0.4200E+00  -0.4313E+01   0.2972E+01
  0.4210E+00  -0.4304E+01   0.3015E+01
  0.4220E+00  -0.4295E+01   0.3056E+01
