           n       Iaprox        E_rel
        5670   0.2500E+00   0.1764E-03
        5680   0.2500E+00   0.1761E-03
        5690   0.2500E+00   0.1758E-03
        5700   0.2500E+00   0.1755E-03
        5710   0.2500E+00   0.1752E-03
        5720   0.2500E+00   0.1749E-03
        5730   0.2500E+00   0.1746E-03
        5740   0.2500E+00   0.1742E-03
        5750   0.2500E+00   0.1739E-03
        5760   0.2500E+00   0.1736E-03
        5770   0.2500E+00   0.1733E-03
        5780   0.2500E+00   0.1730E-03
        5790   0.2500E+00   0.1727E-03
        5800   0.2500E+00   0.1724E-03
        5810   0.2500E+00   0.1721E-03
        5820   0.2500E+00   0.1719E-03
        5830   0.2500E+00   0.1716E-03
        5840   0.2500E+00   0.1713E-03
        5850   0.2500E+00   0.1710E-03
        5860   0.2500E+00   0.1707E-03
        5870   0.2500E+00   0.1704E-03
        5880   0.2500E+00   0.1701E-03
        5890   0.2500E+00   0.1698E-03
        5900   0.2500E+00   0.1695E-03
        5910   0.2500E+00   0.1692E-03
        5920   0.2500E+00   0.1689E-03
        5930   0.2500E+00   0.1687E-03
        5940   0.2500E+00   0.1684E-03
        5950   0.2500E+00   0.1681E-03
        5960   0.2500E+00   0.1678E-03
        5970   0.2500E+00   0.1675E-03
        5980   0.2500E+00   0.1673E-03
        5990   0.2500E+00   0.1670E-03
        6000   0.2500E+00   0.1667E-03
        6010   0.2500E+00   0.1664E-03
        6020   0.2500E+00   0.1661E-03
        6030   0.2500E+00   0.1659E-03
        6040   0.2500E+00   0.1656E-03
        6050   0.2500E+00   0.1653E-03
        6060   0.2500E+00   0.1650E-03
        6070   0.2500E+00   0.1648E-03
        6080   0.2500E+00   0.1645E-03
        6090   0.2500E+00   0.1642E-03
        6100   0.2500E+00   0.1640E-03
        6110   0.2500E+00   0.1637E-03
        6120   0.2500E+00   0.1634E-03
        6130   0.2500E+00   0.1632E-03
        6140   0.2500E+00   0.1629E-03
        6150   0.2500E+00   0.1626E-03
        6160   0.2500E+00   0.1624E-03
        6170   0.2500E+00   0.1621E-03
        6180   0.2500E+00   0.1618E-03
        6190   0.2500E+00   0.1616E-03
        6200   0.2500E+00   0.1613E-03
        6210   0.2500E+00   0.1611E-03
        6220   0.2500E+00   0.1608E-03
        6230   0.2500E+00   0.1605E-03
        6240   0.2500E+00   0.1603E-03
        6250   0.2500E+00   0.1600E-03
        6260   0.2500E+00   0.1598E-03
        6270   0.2500E+00   0.1595E-03
        6280   0.2500E+00   0.1593E-03
        6290   0.2500E+00   0.1590E-03
        6300   0.2500E+00   0.1588E-03
        6310   0.2500E+00   0.1585E-03
        6320   0.2500E+00   0.1583E-03
        6330   0.2500E+00   0.1580E-03
        6340   0.2500E+00   0.1578E-03
        6350   0.2500E+00   0.1575E-03
        6360   0.2500E+00   0.1573E-03
        6370   0.2500E+00   0.1570E-03
        6380   0.2500E+00   0.1568E-03
        6390   0.2500E+00   0.1565E-03
        6400   0.2500E+00   0.1563E-03
        6410   0.2500E+00   0.1560E-03
        6420   0.2500E+00   0.1558E-03
        6430   0.2500E+00   0.1555E-03
        6440   0.2500E+00   0.1553E-03
        6450   0.2500E+00   0.1551E-03
        6460   0.2500E+00   0.1548E-03
        6470   0.2500E+00   0.1546E-03
        6480   0.2500E+00   0.1543E-03
        6490   0.2500E+00   0.1541E-03
        6500   0.2500E+00   0.1539E-03
        6510   0.2500E+00   0.1536E-03
        6520   0.2500E+00   0.1534E-03
        6530   0.2500E+00   0.1532E-03
        6540   0.2500E+00   0.1529E-03
        6550   0.2500E+00   0.1527E-03
        6560   0.2500E+00   0.1525E-03
        6570   0.2500E+00   0.1522E-03
        6580   0.2500E+00   0.1520E-03
        6590   0.2500E+00   0.1518E-03
        6600   0.2500E+00   0.1515E-03
        6610   0.2500E+00   0.1513E-03
        6620   0.2500E+00   0.1511E-03
        6630   0.2500E+00   0.1509E-03
        6640   0.2500E+00   0.1506E-03
        6650   0.2500E+00   0.1504E-03
        6660   0.2500E+00   0.1502E-03
        6670   0.2500E+00   0.1499E-03
        6680   0.2500E+00   0.1497E-03
        6690   0.2500E+00   0.1495E-03
        6700   0.2500E+00   0.1493E-03
        6710   0.2500E+00   0.1491E-03
        6720   0.2500E+00   0.1488E-03
        6730   0.2500E+00   0.1486E-03
        6740   0.2500E+00   0.1484E-03
        6750   0.2500E+00   0.1482E-03
        6760   0.2500E+00   0.1480E-03
        6770   0.2500E+00   0.1477E-03
        6780   0.2500E+00   0.1475E-03
        6790   0.2500E+00   0.1473E-03
        6800   0.2500E+00   0.1471E-03
        6810   0.2500E+00   0.1469E-03
        6820   0.2500E+00   0.1466E-03
        6830   0.2500E+00   0.1464E-03
        6840   0.2500E+00   0.1462E-03
        6850   0.2500E+00   0.1460E-03
        6860   0.2500E+00   0.1458E-03
        6870   0.2500E+00   0.1456E-03
        6880   0.2500E+00   0.1454E-03
        6890   0.2500E+00   0.1452E-03
        6900   0.2500E+00   0.1449E-03
        6910   0.2500E+00   0.1447E-03
        6920   0.2500E+00   0.1445E-03
        6930   0.2500E+00   0.1443E-03
        6940   0.2500E+00   0.1441E-03
        6950   0.2500E+00   0.1439E-03
        6960   0.2500E+00   0.1437E-03
        6970   0.2500E+00   0.1435E-03
        6980   0.2500E+00   0.1433E-03
        6990   0.2500E+00   0.1431E-03
        7000   0.2500E+00   0.1429E-03
        7010   0.2500E+00   0.1427E-03
