     MC_step       U_adim       M_adim
         635  -0.1236E+04   0.1200E+00
         636  -0.1284E+04   0.1050E+00
         637  -0.1176E+04   0.5500E-01
         638  -0.1120E+04   0.6000E-01
         639  -0.1116E+04   0.9000E-01
         640  -0.1132E+04   0.7250E-01
         641  -0.1204E+04   0.4500E-01
         642  -0.1304E+04   0.3750E-02
         643  -0.1196E+04   0.8750E-02
         644  -0.1272E+04   0.1625E-01
         645  -0.1336E+04   0.1875E-01
         646  -0.1340E+04   0.5000E-01
         647  -0.1248E+04   0.1500E-01
         648  -0.1220E+04   0.2625E-01
         649  -0.1156E+04   0.3500E-01
         650  -0.1108E+04   0.3750E-02
         651  -0.1104E+04   0.3125E-01
         652  -0.1224E+04   0.6250E-02
         653  -0.1128E+04   0.0000E+00
         654  -0.1216E+04   0.3250E-01
         655  -0.1176E+04   0.2875E-01
         656  -0.1280E+04   0.7875E-01
         657  -0.1260E+04   0.6750E-01
         658  -0.1296E+04   0.7750E-01
         659  -0.1244E+04   0.4125E-01
         660  -0.1392E+04   0.6125E-01
         661  -0.1328E+04   0.2875E-01
         662  -0.1276E+04   0.3375E-01
         663  -0.1296E+04   0.6250E-02
         664  -0.1184E+04   0.1250E-01
         665  -0.1344E+04   0.4375E-01
         666  -0.1408E+04   0.4500E-01
         667  -0.1272E+04   0.4875E-01
         668  -0.1244E+04   0.4875E-01
         669  -0.1164E+04   0.1000E-01
         670  -0.1224E+04   0.2125E-01
         671  -0.1336E+04   0.4250E-01
         672  -0.1288E+04   0.1000E-01
         673  -0.1164E+04   0.4000E-01
         674  -0.1216E+04   0.8000E-01
         675  -0.1268E+04   0.8125E-01
         676  -0.1348E+04   0.4000E-01
         677  -0.1364E+04   0.7500E-02
         678  -0.1312E+04   0.3750E-02
         679  -0.1324E+04   0.2000E-01
         680  -0.1348E+04   0.3500E-01
         681  -0.1380E+04   0.5500E-01
         682  -0.1348E+04   0.2625E-01
         683  -0.1308E+04   0.2125E-01
         684  -0.1296E+04   0.1250E-02
         685  -0.1384E+04   0.1500E-01
         686  -0.1304E+04   0.3000E-01
         687  -0.1280E+04   0.1375E-01
         688  -0.1268E+04   0.3000E-01
         689  -0.1208E+04   0.1000E-01
         690  -0.1188E+04   0.5000E-02
         691  -0.1212E+04   0.1625E-01
         692  -0.1128E+04   0.1125E-01
         693  -0.1108E+04   0.1250E-02
         694  -0.1084E+04   0.5000E-02
         695  -0.1056E+04   0.0000E+00
