     MC_step       U_adim      U_error       M_adim      M_error
         369  -0.8200E+02   0.5381E-01   0.1000E-01   0.1489E-03
         370  -0.1020E+03   0.5374E-01   0.1700E+00   0.1486E-03
         371  -0.1220E+03   0.5369E-01   0.3100E+00   0.1484E-03
         372  -0.1220E+03   0.5365E-01   0.2300E+00   0.1482E-03
         373  -0.1260E+03   0.5361E-01   0.2100E+00   0.1479E-03
         374  -0.1060E+03   0.5354E-01   0.1900E+00   0.1476E-03
         375  -0.1140E+03   0.5348E-01   0.9000E-01   0.1472E-03
         376  -0.1020E+03   0.5341E-01   0.2300E+00   0.1469E-03
         377  -0.1100E+03   0.5335E-01   0.2500E+00   0.1467E-03
         378  -0.1100E+03   0.5329E-01   0.1900E+00   0.1464E-03
