     MC_step       U_adim       M_adim
         631  -0.4392E+04   0.5250E-01
         632  -0.4332E+04   0.1113E+00
         633  -0.4356E+04   0.1713E+00
         634  -0.4388E+04   0.1913E+00
         635  -0.4364E+04   0.2175E+00
         636  -0.4400E+04   0.2350E+00
         637  -0.4248E+04   0.2025E+00
         638  -0.4328E+04   0.1500E+00
         639  -0.4328E+04   0.2875E-01
         640  -0.4240E+04   0.1650E+00
         641  -0.4300E+04   0.1500E+00
         642  -0.4324E+04   0.2338E+00
         643  -0.4364E+04   0.1738E+00
         644  -0.4392E+04   0.2025E+00
         645  -0.4380E+04   0.2025E+00
         646  -0.4312E+04   0.2000E+00
         647  -0.4300E+04   0.1650E+00
         648  -0.4236E+04   0.6625E-01
         649  -0.4324E+04   0.1013E+00
         650  -0.4396E+04   0.9375E-01
         651  -0.4264E+04   0.6250E-02
         652  -0.4396E+04   0.5875E-01
         653  -0.4352E+04   0.8750E-02
         654  -0.4444E+04   0.4750E-01
         655  -0.4404E+04   0.1175E+00
         656  -0.4436E+04   0.1038E+00
         657  -0.4412E+04   0.1200E+00
         658  -0.4400E+04   0.7375E-01
         659  -0.4364E+04   0.1675E+00
         660  -0.4352E+04   0.8375E-01
         661  -0.4472E+04   0.6125E-01
         662  -0.4520E+04   0.1938E+00
         663  -0.4524E+04   0.3287E+00
         664  -0.4432E+04   0.3125E+00
         665  -0.4452E+04   0.1250E+00
         666  -0.4412E+04   0.1188E+00
         667  -0.4420E+04   0.1062E+00
         668  -0.4392E+04   0.1625E-01
         669  -0.4348E+04   0.2750E-01
         670  -0.4384E+04   0.9625E-01
         671  -0.4388E+04   0.2200E+00
         672  -0.4504E+04   0.2925E+00
         673  -0.4448E+04   0.1475E+00
         674  -0.4420E+04   0.1575E+00
         675  -0.4444E+04   0.1325E+00
         676  -0.4456E+04   0.1913E+00
         677  -0.4392E+04   0.1212E+00
         678  -0.4432E+04   0.1087E+00
         679  -0.4472E+04   0.1875E+00
         680  -0.4432E+04   0.1975E+00
         681  -0.4412E+04   0.2363E+00
         682  -0.4472E+04   0.2225E+00
         683  -0.4488E+04   0.2225E+00
         684  -0.4476E+04   0.1787E+00
         685  -0.4368E+04   0.1688E+00
         686  -0.4480E+04   0.1950E+00
         687  -0.4396E+04   0.1388E+00
         688  -0.4356E+04   0.1675E+00
         689  -0.4356E+04   0.1900E+00
         690  -0.4432E+04   0.2112E+00
         691  -0.4372E+04   0.1975E+00
         692  -0.4376E+04   0.1537E+00
         693  -0.4392E+04   0.1075E+00
         694  -0.4372E+04   0.2637E+00
